warehouse_code,region_code,id,delivery_date,product_id,name,step_unit,supplier_id,price,quantity
ALQ,BOG,12568639,2023-07-29,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1200.0,1036.0
ALQ,BOG,12179138,2023-06-19,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1000.0,680.0
ALQ,BOG,12023313,2023-06-02,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1200.0,444.0
ALQ,BOG,12664149,2023-08-09,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1300.0,412.0
ALQ,BOG,12286897,2023-06-29,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1150.0,375.0
ALQ,BOG,12482065,2023-07-20,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1200.0,727.0
ALQ,BOG,12091692,2023-06-09,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1100.0,555.0
ALQ,BOG,12231656,2023-06-23,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1150.0,525.0
ALQ,BOG,12151881,2023-06-15,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1050.0,52.0
ALQ,BOG,12126179,2023-06-13,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1100.0,139.0
ALQ,BOG,12818268,2023-08-26,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1000.0,625.0
ALQ,BOG,12828895,2023-08-28,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1000.0,1096.0
ALQ,BOG,12408806,2023-07-12,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1100.0,742.0
ALQ,BOG,12042306,2023-06-05,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1100.0,645.0
ALQ,BOG,12112953,2023-06-12,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1100.0,90.0
ALQ,BOG,12806386,2023-08-25,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1000.0,642.0
ALQ,BOG,12640661,2023-08-07,1560,Mix de Lechugas Asiáticas Estándar - Bandeja,1.0,760,1800.0,56.0
ALQ,BOG,12765370,2023-08-21,1560,Mix de Lechugas Asiáticas Estándar - Bandeja,1.0,760,1800.0,9.0
ALQ,BOG,12187894,2023-06-19,1560,Mix de Lechugas Asiáticas Estándar - Bandeja,1.0,760,1800.0,28.0
ALQ,BOG,12818964,2023-08-26,468,Ají Dulce Estándar Kg,0.5,253,10000.0,7.0
ALQ,BOG,12632794,2023-08-05,468,Ají Dulce Estándar Kg,0.5,253,12000.0,7.0
ALQ,BOG,12504846,2023-07-22,468,Ají Dulce Estándar Kg,0.5,253,12000.0,6.0
ALQ,BOG,12568419,2023-07-29,468,Ají Dulce Estándar Kg,0.5,253,12000.0,4.0
ALQ,BOG,12441286,2023-07-15,468,Ají Dulce Estándar Kg,0.5,253,12000.0,6.0
ALQ,BOG,12033376,2023-06-03,468,Ají Dulce Estándar Kg,0.5,253,12000.0,9.0
ALQ,BOG,12757292,2023-08-19,468,Ají Dulce Estándar Kg,0.5,253,10000.0,7.0
ALQ,BOG,12379041,2023-07-08,468,Ají Dulce Estándar Kg,0.5,253,12000.0,4.0
ALQ,BOG,12308616,2023-07-01,468,Ají Dulce Estándar Kg,0.5,253,12000.0,6.0
ALQ,BOG,12704361,2023-08-14,468,Ají Dulce Estándar Kg,0.5,5370,8000.0,1.0
ALQ,BOG,12103965,2023-06-10,468,Ají Dulce Estándar Kg,0.5,253,12000.0,3.0
ALQ,BOG,12243320,2023-06-24,468,Ají Dulce Estándar Kg,0.5,253,12000.0,5.0
ALQ,BOG,12177785,2023-06-17,468,Ají Dulce Estándar Kg,0.5,253,12000.0,7.0
ALQ,BOG,12684363,2023-08-11,836,Pimentón Maduración Mixta Semi (Mediano / Nataly) - Desde 2Kg,1.0,3528,1100.0,350.0
ALQ,BOG,12234287,2023-06-24,836,Pimentón Maduración Mixta Semi (Mediano / Nataly) - Desde 2Kg,1.0,3528,1900.0,370.0
ALQ,BOG,12620561,2023-08-04,836,Pimentón Maduración Mixta Semi (Mediano / Nataly) - Desde 2Kg,1.0,798,1100.0,200.0
ALQ,BOG,12505036,2023-07-22,836,Pimentón Maduración Mixta Semi (Mediano / Nataly) - Desde 2Kg,1.0,3528,1100.0,100.0
ALQ,BOG,12775769,2023-08-22,836,Pimentón Maduración Mixta Semi (Mediano / Nataly) - Desde 2Kg,1.0,798,1000.0,100.0
ALQ,BOG,12379171,2023-07-08,836,Pimentón Maduración Mixta Semi (Mediano / Nataly) - Desde 2Kg,1.0,3528,850.0,310.0
ALQ,BOG,12696673,2023-08-12,836,Pimentón Maduración Mixta Semi (Mediano / Nataly) - Desde 2Kg,1.0,3528,1000.0,560.0
ALQ,BOG,12716866,2023-08-15,836,Pimentón Maduración Mixta Semi (Mediano / Nataly) - Desde 2Kg,1.0,798,1100.0,100.0
ALQ,BOG,12640728,2023-08-08,836,Pimentón Maduración Mixta Semi (Mediano / Nataly) - Desde 2Kg,1.0,798,1100.0,200.0
ALQ,BOG,12332108,2023-07-04,836,Pimentón Maduración Mixta Semi (Mediano / Nataly) - Desde 2Kg,1.0,3528,1600.0,700.0
ALQ,BOG,12441458,2023-07-15,836,Pimentón Maduración Mixta Semi (Mediano / Nataly) - Desde 2Kg,1.0,3528,900.0,500.0
